"","x"
"1","Oryza sativa"
"2","Oryza sativa"
"3","Oryza sativa"
"4","Oryza sativa"
"5","Oryza meridionalis"
"6","Oryza punctata"
"7","Oryza officinalis"
"8","Oryza brachyantha"
"9","Oryza australiensis"
"10","Oryza glaberrima"
"11","Oryza longistaminata"
"12","Oryza meyeriana"
"13","Oryza barthii"
"14","Oryza sativa"
"15","Oryza minuta"
