"","scrubbed_genus","scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"280","Oryza","Oryza rufipogon",-14.510278,144.131389,1993-03-27,"GBIF","MEL","MEL","MEL","MEL",4601,"specimen"
"281","Oryza","Oryza rufipogon",-14.6,144.68,1987-07-30,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"282","Oryza","Oryza latifolia",11.45,-85.51666,1984-09-24,"MO","MO","MO","MO",NA,267,"specimen"
"283","Oryza","Oryza punctata",4.93413,18.91296,1963-03-13,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"284","Oryza","Oryza longistaminata",-24.625,28.625,1947-03-31,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"285","Oryza","Oryza rufipogon",-19.2317,146.7631,2010-06-18,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"286","Oryza","Oryza latifolia",12.38333,-86.83333,1982-07-01,"MO","MO","MO","MO",NA,267,"specimen"
"287","Oryza","Oryza rufipogon",-19.2167,146.75,2010-07-02,"GBIF","JCT","JCT","JCT","JCT",4509,"specimen"
"288","Oryza","Oryza latifolia",10.899111,-85.649605,2003-08-16,"GBIF","INBio","INBio","INBio","Plantae",3400,"specimen"
"289","Oryza","Oryza rufipogon",-7.0047,141.4908,2015-05-27,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"290","Oryza","Oryza rufipogon",-19.556782,147.359433,1968-03-01,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"291","Oryza","Oryza rufipogon",-8.85185,141.23886,2015-05-29,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"292","Oryza","Oryza rufipogon",-14.709111,144.008333,2009-08-11,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"293","Oryza","Oryza longistaminata",10.40905,14.85271,1964-10-17,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"294","Oryza","Oryza rufipogon",-15.75177,144.98895,2016-08-05,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"295","Oryza","Oryza rufipogon",-14.756778,144.121111,2009-08-11,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"296","Oryza","Oryza brachyantha",8.7431,18.55349,1964-09-15,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"297","Oryza","Oryza rufipogon",-4.2167,142.8167,1966-05-30,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"298","Oryza","Oryza punctata",2.283333,15.716667,1998-11-03,"GBIF","E","E","E","E",4362,"specimen"
"299","Oryza","Oryza latifolia",10.5,-85.16,1966-10-15,"GBIF","Museo Nacional de Costa Rica (MNCR)","Museo Nacional de Costa Rica (MNCR)","Museo Nacional de Costa Rica (MNCR)","Herbario Nacional de Costa Rica (CR)",950,"specimen"
"300","Oryza","Oryza barthii",14.6,-15,1961-10-19,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"301","Oryza","Oryza minuta",27.529167,84.250833,2004-11-23,"GBIF","E","E","E","E",4362,"specimen"
"302","Oryza","Oryza longistaminata",-24.52,28.72,NA,"GBIF","K","K","K","Herbarium",4513,"specimen"
"303","Oryza","Oryza rufipogon",-13.424672,142.487028,2013-08-16,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"304","Oryza","Oryza latifolia",-24,-59,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"305","Oryza","Oryza longistaminata",11.39836,14.56844,1964-10-16,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"306","Oryza","Oryza latifolia",-1.09,-71.08,1984-05-30,"GBIF","Instituto Amazónico de Investigaciones Científicas (SINCHI)","Instituto Amazónico de Investigaciones Científicas (SINCHI)","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH",1408,"specimen"
"307","Oryza","Oryza longistaminata",10.58444,14.73778,1964-10-17,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"308","Oryza","Oryza rufipogon",-13.592222,142.125833,2016-05-04,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"309","Oryza","Oryza latifolia",14.36667,-85.05,2005-07-08,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"310","Oryza","Oryza longistaminata",-24.538467,32.99481,1944-05-11,"GBIF","IICT","IICT","IICT","LISC",821,"specimen"
"311","Oryza","Oryza rufipogon",-14.269444,143.703611,2012-06-06,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
